0<010000;-0<020000
0<020000;-0<033979
0<030000;-0<045686
0<040000;-0<055918
0<050000;-0<065051
0<060000;-0<073311
0<070000;-0<080843
0<080000;-0<087753
0<090000;-0<094118
0<100000;-0<100000
0<110000;-0<105447
0<120000;-0<110498
0<130000;-0<115187
0<140000;-0<119542
0<150000;-0<123586
0<160000;-0<127341
0<170000;-0<130824
0<180000;-0<134051
0<190000;-0<137037
0<200000;-0<139794
0<210000;-0<142334
0<220000;-0<144667
0<230000;-0<146803
0<240000;-0<148749
0<250000;-0<150515
0<260000;-0<152107
0<270000;-0<153532
0<280000;-0<154796
0<290000;-0<155905
0<300000;-0<156864
0<310000;-0<157678
0<320000;-0<158352
0<330000;-0<158890
0<340000;-0<159297
0<350000;-0<159576
0<360000;-0<159731
0<370000;-0<159765
0<380000;-0<159682
0<390000;-0<159485
0<400000;-0<159176
0<410000;-0<158759
0<420000;-0<158235
0<430000;-0<157609
0<440000;-0<156881
0<450000;-0<156054
0<460000;-0<155131
0<470000;-0<154114
0<480000;-0<153004
0<490000;-0<151804
0<500000;-0<150515
0<510000;-0<149139
0<520000;-0<147678
0<530000;-0<146134
0<540000;-0<144507
0<550000;-0<142801
0<560000;-0<141015
0<570000;-0<139151
0<580000;-0<137212
0<590000;-0<135197
0<600000;-0<133109
0<610000;-0<130949
0<620000;-0<128717
0<630000;-0<126415
0<640000;-0<124045
0<650000;-0<121606
0<660000;-0<119101
0<670000;-0<116530
0<680000;-0<113894
0<690000;-0<111194
0<700000;-0<108431
0<710000;-0<105607
0<720000;-0<102721
0<730000;-0<099774
0<740000;-0<096769
0<750000;-0<093704
0<760000;-0<090582
0<770000;-0<087402
0<780000;-0<084166
0<790000;-0<080875
0<800000;-0<077528
0<810000;-0<074127
0<820000;-0<070673
0<830000;-0<067165
0<840000;-0<063605
0<850000;-0<059994
0<860000;-0<056331
0<870000;-0<052618
0<880000;-0<048855
0<890000;-0<045043
0<900000;-0<041182
0<910000;-0<037272
0<920000;-0<033315
0<930000;-0<029311
0<940000;-0<025260
0<950000;-0<021163
0<960000;-0<017020
0<970000;-0<012831
0<980000;-0<008598
0<990000;-0<004321
1<000000;0<000000
1<010000;0<004365
1<020000;0<008772
1<030000;0<013222
1<040000;0<017715
1<050000;0<022249
1<060000;0<026824
1<070000;0<031441
1<080000;0<036098
1<090000;0<040795
1<100000;0<045532
1<110000;0<050309
1<120000;0<055124
1<130000;0<059979
1<140000;0<064872
1<150000;0<069803
1<160000;0<074771
1<170000;0<079777
1<180000;0<084821
1<190000;0<089901
1<200000;0<095017
1<210000;0<100170
1<220000;0<105359
1<230000;0<110583
1<240000;0<115843
1<250000;0<121138
1<260000;0<126467
1<270000;0<131831
1<280000;0<137229
1<290000;0<142661
1<300000;0<148126
1<310000;0<153625
1<320000;0<159158
1<330000;0<164723
1<340000;0<170320
1<350000;0<175951
1<360000;0<181613
1<370000;0<187307
1<380000;0<193033
1<390000;0<198791
1<400000;0<204579
1<410000;0<210399
1<420000;0<216249
1<430000;0<222131
1<440000;0<228042
1<450000;0<233984
1<460000;0<239955
1<470000;0<245956
1<480000;0<251987
1<490000;0<258048
1<500000;0<264137
1<510000;0<270255
1<520000;0<276402
1<530000;0<282578
1<540000;0<288782
1<550000;0<295014
1<560000;0<301274
1<570000;0<307562
1<580000;0<313878
1<590000;0<320221
1<600000;0<326592
1<610000;0<332990
1<620000;0<339414
1<630000;0<345866
1<640000;0<352344
1<650000;0<358849
1<660000;0<365379
